"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YKMKIXIR","preprint","2024","Wang, Zhichao; Bi, Bin; Pentyala, Shiva Kumar; Ramnath, Kiran; Chaudhuri, Sougata; Mehrotra, Shubham; Zixu; Zhu; Mao, Xiang-Bo; Asur, Sitaram; Na; Cheng","A Comprehensive Survey of LLM Alignment Techniques: RLHF, RLAIF, PPO, DPO and More","","","","","http://arxiv.org/abs/2407.16216","With advancements in self-supervised learning, the availability of trillions tokens in a pre-training corpus, instruction fine-tuning, and the development of large Transformers with billions of parameters, large language models (LLMs) are now capable of generating factual and coherent responses to human queries. However, the mixed quality of training data can lead to the generation of undesired responses, presenting a significant challenge. Over the past two years, various methods have been proposed from different perspectives to enhance LLMs, particularly in aligning them with human expectation. Despite these efforts, there has not been a comprehensive survey paper that categorizes and details these approaches. In this work, we aim to address this gap by categorizing these papers into distinct topics and providing detailed explanations of each alignment method, thereby helping readers gain a thorough understanding of the current state of the field.","2024-07-23","2024-09-20 08:33:40","2024-09-20 08:33:40","2024-09-20 08:33:40","","","","","","","A Comprehensive Survey of LLM Alignment Techniques","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2407.16216 [cs]","","D:\Program Files\Zotero\File\storage\GUMKC8I8\Wang 等 - 2024 - A Comprehensive Survey of LLM Alignment Techniques RLHF, RLAIF, PPO, DPO and More.pdf","","","Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2407.16216","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9SIEQGS","preprint","2024","Caffagni, Davide; Cocchi, Federico; Barsellotti, Luca; Moratelli, Nicholas; Sarto, Sara; Baraldi, Lorenzo; Baraldi, Lorenzo; Cornia, Marcella; Cucchiara, Rita","The Revolution of Multimodal Large Language Models: A Survey","","","","","http://arxiv.org/abs/2402.12451","Connecting text and visual modalities plays an essential role in generative intelligence. For this reason, inspired by the success of large language models, significant research efforts are being devoted to the development of Multimodal Large Language Models (MLLMs). These models can seamlessly integrate visual and textual modalities, while providing a dialogue-based interface and instructionfollowing capabilities. In this paper, we provide a comprehensive review of recent visual-based MLLMs, analyzing their architectural choices, multimodal alignment strategies, and training techniques. We also conduct a detailed analysis of these models across a wide range of tasks, including visual grounding, image generation and editing, visual understanding, and domainspecific applications. Additionally, we compile and describe training datasets and evaluation benchmarks, conducting comparisons among existing models in terms of performance and computational requirements. Overall, this survey offers a comprehensive overview of the current state of the art, laying the groundwork for future MLLMs.","2024-06-06","2024-09-18 12:52:16","2024-09-18 12:52:16","2024-09-18 12:52:16","","","","","","","The Revolution of Multimodal Large Language Models","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2402.12451 [cs]","","D:\Program Files\Zotero\File\storage\JFV3AX2R\Caffagni 等 - 2024 - The Revolution of Multimodal Large Language Models A Survey.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computer Vision and Pattern Recognition; Computer Science - Computation and Language; Computer Science - Multimedia","","","","","","","","","","","","","","","","","","","arXiv:2402.12451","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQCKWQB6","conferencePaper","2024","Cui, Can; Ma, Yunsheng; Cao, Xu; Ye, Wenqian; Zhou, Yang; Liang, Kaizhao; Chen, Jintai; Lu, Juanwu; Yang, Zichong; Liao, Kuei-Da; Gao, Tianren; Li, Erlong; Tang, Kun; Cao, Zhipeng; Zhou, Tong; Liu, Ao; Yan, Xinrui; Mei, Shuqi; Cao, Jianguo; Wang, Ziran; Zheng, Chao","A Survey on Multimodal Large Language Models for Autonomous Driving","2024 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW)","979-8-3503-7028-7","","10.1109/WACVW60836.2024.00106","https://ieeexplore.ieee.org/document/10495592/","With the emergence of Large Language Models (LLMs) and Vision Foundation Models (VFMs), multimodal AI systems benefiting from large models have the potential to equally perceive the real world, make decisions, and control tools as humans. In recent months, LLMs have shown widespread attention in autonomous driving and map systems. Despite its immense potential, there is still a lack of a comprehensive understanding of key challenges, opportunities, and future endeavors to apply in LLM driving systems. In this paper, we present a systematic investigation in this field. We first introduce the background of Multimodal Large Language Models (MLLMs), the multimodal models development using LLMs, and the history of autonomous driving. Then, we overview existing MLLM tools for driving, transportation, and map systems together with existing datasets and benchmarks. Moreover, we summarized the works in The 1st WACV Workshop on Large Language and Vision Models for Autonomous Driving (LLVM-AD), which is the first workshop of its kind regarding LLMs in autonomous driving. To further promote the development of this field, we also discuss several important problems regarding using MLLMs in autonomous driving systems that need to be solved by both academia and industry.","2024-01-01","2024-09-18 12:51:11","2024-09-18 12:51:12","2024-09-18 12:51:11","958-979","","","","","","","","","","","IEEE","Waikoloa, HI, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","D:\Program Files\Zotero\File\storage\W5YGF8IK\Cui 等 - 2024 - A Survey on Multimodal Large Language Models for Autonomous Driving.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW)","","","","","","","","","","","","","","",""
"TPDMDSCZ","preprint","2023","Wang, Yuanhao; Liu, Qinghua; Jin, Chi","Is RLHF More Difficult than Standard RL?","","","","","http://arxiv.org/abs/2306.14111","Reinforcement learning from Human Feedback (RLHF) learns from preference signals, while standard Reinforcement Learning (RL) directly learns from reward signals. Preferences arguably contain less information than rewards, which makes preference-based RL seemingly more difficult. This paper theoretically proves that, for a wide range of preference models, we can solve preference-based RL directly using existing algorithms and techniques for reward-based RL, with small or no extra costs. Specifically, (1) for preferences that are drawn from reward-based probabilistic models, we reduce the problem to robust reward-based RL that can tolerate small errors in rewards; (2) for general arbitrary preferences where the objective is to find the von Neumann winner, we reduce the problem to multiagent reward-based RL which finds Nash equilibria for factored Markov games with a restricted set of policies. The latter case can be further reduced to adversarial MDP when preferences only depend on the final state. We instantiate all reward-based RL subroutines by concrete provable algorithms, and apply our theory to a large class of models including tabular MDPs and MDPs with generic function approximation. We further provide guarantees when K-wise comparisons are available.","2023-11-03","2024-09-18 02:39:41","2024-09-18 02:39:41","2024-09-18 02:39:41","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2306.14111 [cs, stat]","","D:\Program Files\Zotero\File\storage\XB2CXGEC\Wang 等 - 2023 - Is RLHF More Difficult than Standard RL.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2306.14111","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEDLTHTJ","preprint","2023","Zhao, Wayne Xin; Zhou, Kun; Li, Junyi; Tang, Tianyi; Wang, Xiaolei; Hou, Yupeng; Min, Yingqian; Zhang, Beichen; Zhang, Junjie; Dong, Zican; Du, Yifan; Yang, Chen; Chen, Yushuo; Chen, Zhipeng; Jiang, Jinhao; Ren, Ruiyang; Li, Yifan; Tang, Xinyu; Liu, Zikang; Liu, Peiyu; Nie, Jian-Yun; Wen, Ji-Rong","A Survey of Large Language Models","","","","","http://arxiv.org/abs/2303.18223","Ever since the Turing Test was proposed in the 1950s, humans have explored the mastering of language intelligence by machine. Language is essentially a complex, intricate system of human expressions governed by grammatical rules. It poses a significant challenge to develop capable artificial intelligence (AI) algorithms for comprehending and grasping a language. As a major approach, language modeling has been widely studied for language understanding and generation in the past two decades, evolving from statistical language models to neural language models. Recently, pre-trained language models (PLMs) have been proposed by pretraining Transformer models over large-scale corpora, showing strong capabilities in solving various natural language processing (NLP) tasks. Since the researchers have found that model scaling can lead to an improved model capacity, they further investigate the scaling effect by increasing the parameter scale to an even larger size. Interestingly, when the parameter scale exceeds a certain level, these enlarged language models not only achieve a significant performance improvement, but also exhibit some special abilities (e.g., incontext learning) that are not present in small-scale language models (e.g., BERT). To discriminate the language models in different parameter scales, the research community has coined the term large language models (LLM) for the PLMs of significant size (e.g., containing tens or hundreds of billions of parameters). Recently, the research on LLMs has been largely advanced by both academia and industry, and a remarkable progress is the launch of ChatGPT (a powerful AI chatbot developed based on LLMs), which has attracted widespread attention from society. The technical evolution of LLMs has been making an important impact on the entire AI community, which would revolutionize the way how we develop and use AI algorithms. Considering this rapid technical progress, in this survey, we review the recent advances of LLMs by introducing the background, key findings, and mainstream techniques. In particular, we focus on four major aspects of LLMs, namely pre-training, adaptation tuning, utilization, and capacity evaluation. Furthermore, we also summarize the available resources for developing LLMs and discuss the remaining issues for future directions. This survey provides an up-to-date review of the literature on LLMs, which can be a useful resource for both researchers and engineers.","2023-11-24","2024-09-18 01:21:14","2024-09-18 01:21:14","2024-09-18 01:21:14","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2303.18223 [cs]","","D:\Program Files\Zotero\File\storage\DC3CCVVI\Zhao 等 - 2023 - A Survey of Large Language Models.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2303.18223","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WUQ2KWU","preprint","2024","Kaufmann, Timo; Weng, Paul; Bengs, Viktor; Hüllermeier, Eyke","A Survey of Reinforcement Learning from Human Feedback","","","","","http://arxiv.org/abs/2312.14925","Reinforcement learning from human feedback (RLHF) is a variant of reinforcement learning (RL) that learns from human feedback instead of relying on an engineered reward function. Building on prior work on the related setting of preference-based reinforcement learning (PbRL), it stands at the intersection of artiﬁcial intelligence and human-computer interaction. This positioning oﬀers a promising avenue to enhance the performance and adaptability of intelligent systems while also improving the alignment of their objectives with human values. The training of large language models (LLMs) has impressively demonstrated this potential in recent years, where RLHF played a decisive role in directing the model’s capabilities toward human objectives. This article provides a comprehensive overview of the fundamentals of RLHF, exploring the intricate dynamics between RL agents and human input. While recent focus has been on RLHF for LLMs, our survey adopts a broader perspective, examining the diverse applications and wide-ranging impact of the technique. We delve into the core principles that underpin RLHF, shedding light on the symbiotic relationship between algorithms and human feedback, and discuss the main research trends in the ﬁeld. By synthesizing the current landscape of RLHF research, this article aims to provide researchers as well as practitioners with a comprehensive understanding of this rapidly growing ﬁeld of research.","2024-04-30","2024-09-14 14:44:27","2024-09-14 14:44:27","2024-09-14 14:44:27","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2312.14925 [cs]","","D:\Program Files\Zotero\File\storage\GVALTNDJ\Kaufmann 等 - 2024 - A Survey of Reinforcement Learning from Human Feedback.pdf","","","Computer Science - Machine Learning; I.2.6","","","","","","","","","","","","","","","","","","","arXiv:2312.14925","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EYRMYJD","journalArticle","","Wang, Yuanhao; Liu, Qinghua; Jin, Chi","Is RLHF More Difficult than Standard RL? A Theoretical Perspective","","","","","","Reinforcement learning from Human Feedback (RLHF) learns from preference signals, while standard Reinforcement Learning (RL) directly learns from reward signals. Preferences arguably contain less information than rewards, which makes preference-based RL seemingly more difficult. This paper theoretically proves that, for a wide range of preference models, we can solve preference-based RL directly using existing algorithms and techniques for reward-based RL, with small or no extra costs. Specifically, (1) for preferences that are drawn from reward-based probabilistic models, we reduce the problem to robust reward-based RL that can tolerate small errors in rewards; (2) for general arbitrary preferences where the objective is to find the von Neumann winner, we reduce the problem to multiagent reward-based RL which finds Nash equilibria for factored Markov games under a restricted set of policies. The latter case can be further reduced to adversarial MDP when preferences only depend on the final state. We instantiate all reward-based RL subroutines by concrete provable algorithms, and apply our theory to a large class of models including tabular MDPs and MDPs with generic function approximation. We further provide guarantees when K-wise comparisons are available.","","2024-09-14 14:44:03","2024-09-14 14:44:03","","","","","","","","","","","","","","","en","","","","","Zotero","","","","D:\Program Files\Zotero\File\storage\9LIHEWT4\Wang 等 - Is RLHF More Difficult than Standard RL A Theoretical Perspective.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TPS2TIGD","preprint","2024","Zhou, Zixuan; Ning, Xuefei; Hong, Ke; Fu, Tianyu; Xu, Jiaming; Li, Shiyao; Lou, Yuming; Wang, Luning; Yuan, Zhihang; Li, Xiuhong; Yan, Shengen; Dai, Guohao; Zhang, Xiao-Ping; Dong, Yuhan; Wang, Yu","A Survey on Efficient Inference for Large Language Models","","","","","http://arxiv.org/abs/2404.14294","Large Language Models (LLMs) have attracted extensive attention due to their remarkable performance across various tasks. However, the substantial computational and memory requirements of LLM inference pose challenges for deployment in resource-constrained scenarios. Efforts within the field have been directed towards developing techniques aimed at enhancing the efficiency of LLM inference. This paper presents a comprehensive survey of the existing literature on efficient LLM inference. We start by analyzing the primary causes of the inefficient LLM inference, i.e., the large model size, the quadraticcomplexity attention operation, and the auto-regressive decoding approach. Then, we introduce a comprehensive taxonomy that organizes the current literature into data-level, model-level, and system-level optimization. Moreover, the paper includes comparative experiments on representative methods within critical sub-fields to provide quantitative insights. Last but not least, we provide some knowledge summary and discuss future research directions.","2024-07-19","2024-09-11 08:10:08","2024-09-11 08:10:08","2024-09-11 08:10:08","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2404.14294 [cs]","","D:\Program Files\Zotero\File\storage\M4DRB4ZN\Zhou 等 - 2024 - A Survey on Efficient Inference for Large Language Models.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2404.14294","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGCA55SP","preprint","2024","Han, Zeyu; Gao, Chao; Liu, Jinyang; Zhang, Jeff; Zhang, Sai Qian","Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey","","","","","http://arxiv.org/abs/2403.14608","Large models represent a groundbreaking advancement in multiple application fields, enabling remarkable achievements across various tasks. However, their unprecedented scale comes with significant computational costs. These models, often consisting of billions of parameters, require vast amounts of computational resources for execution. Especially, the expansive scale and computational demands pose considerable challenges when customizing them for particular downstream tasks, particularly over the hardware platforms constrained by computational capabilities.","2024-07-12","2024-09-11 08:09:33","2024-09-11 08:09:33","2024-09-11 08:09:33","","","","","","","Parameter-Efficient Fine-Tuning for Large Models","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2403.14608 [cs]","","D:\Program Files\Zotero\File\storage\B8RFAZ2K\Han 等 - 2024 - Parameter-Efficient Fine-Tuning for Large Models A Comprehensive Survey.pdf","","","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2403.14608","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T85PKJ4Y","preprint","2024","Zhu, Xunyu; Li, Jian; Liu, Yong; Ma, Can; Wang, Weiping","A Survey on Model Compression for Large Language Models","","","","","http://arxiv.org/abs/2308.07633","Large Language Models (LLMs) have transformed natural language processing tasks successfully. Yet, their large size and high computational needs pose challenges for practical use, especially in resource-limited settings. Model compression has emerged as a key research area to address these challenges. This paper presents a survey of model compression techniques for LLMs. We cover methods like quantization, pruning, and knowledge distillation, highlighting recent advancements. We also discuss benchmarking strategies and evaluation metrics crucial for assessing compressed LLMs. This survey offers valuable insights for researchers and practitioners, aiming to enhance efficiency and real-world applicability of LLMs while laying a foundation for future advancements.","2024-07-30","2024-09-11 08:09:06","2024-09-11 08:09:06","2024-09-11 08:09:06","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2308.07633 [cs]","","D:\Program Files\Zotero\File\storage\QHCKQL83\Zhu 等 - 2024 - A Survey on Model Compression for Large Language Models.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2308.07633","","","","","","","","","","","","","","","","","","","","","","","","","","",""
