Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"1","29.7","A Comprehensive Survey of Multiagent Reinforcement Learning","2008","2008-03-01","L. Buşoniu, Robert Babuška, B. Schutter","","IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and Reviews)","1995","110.8","10.1109/TSMCC.2007.913919","https://doi.org/10.1109/TSMCC.2007.913919","","true","{'url': 'https://repository.tudelft.nl/islandora/object/uuid%3A4c7d3b49-06fc-400c-923e-3903b8d230fe/datastream/OBJ/download', 'status': 'GOLD'}","4aece8df7bd59e2fbfedbf5729bba41abc56d870",""
"2","26.8","Multi-Agent Reinforcement Learning: A Selective Overview of Theories and Algorithms","2019","2019-11-24","K. Zhang, Zhuoran Yang, T. Başar","Recent years have witnessed significant advances in reinforcement learning (RL), which has registered great success in solving various sequential decision-making problems in machine learning. Most of the successful RL applications, e.g., the games of Go and Poker, robotics, and autonomous driving, involve the participation of more than one single agent, which naturally fall into the realm of multi-agent RL (MARL), a domain with a relatively long history, and has recently re-emerged due to advances in single-agent RL techniques. Though empirically successful, theoretical foundations for MARL are relatively lacking in the literature. In this chapter, we provide a selective overview of MARL, with focus on algorithms backed by theoretical analysis. More specifically, we review the theoretical results of MARL algorithms mainly within two representative frameworks, Markov/stochastic games and extensive-form games, in accordance with the types of tasks they address, i.e., fully cooperative, fully competitive, and a mix of the two. We also introduce several significant but challenging applications of these algorithms. Orthogonal to the existing reviews on MARL, we highlight several new angles and taxonomies of MARL theory, including learning in extensive-form games, decentralized MARL with networked agents, MARL in the mean-field regime, (non-)convergence of policy-based methods for learning in games, etc. Some of the new angles extrapolate from our own research endeavors and interests. Our overall goal with this chapter is, beyond providing an assessment of the current state of the field on the mark, to identify fruitful future research directions on theoretical studies of MARL. We expect this chapter to serve as continuing stimulus for researchers interested in working on this exciting while challenging topic.","ArXiv","1218","194.2","10.1007/978-3-030-60990-0_12","https://doi.org/10.1007/978-3-030-60990-0_12","","true","{'url': 'https://arxiv.org/pdf/1911.10635.pdf', 'status': 'GOLD'}","54d4a221db5a91a2487b1610374843fafff5a23d","- Presents a selective, theory-focused survey of multi-agent reinforcement learning.
- Reviews theoretical results and taxonomies for MARL algorithms, emphasizing Markov/stochastic and extensive-form games in different agent coordination settings.
- Does **not** address supervised, unsupervised, imitation, or evolutionary learning; scope is MARL only, thus only distantly related to a unified cross-framework agent-training survey."
"3","21.7","Multi-objective Deep Learning: Taxonomy and Survey of the State of the Art","2024","2024-12-02","Sebastian Peitz, S. S. Hotegni","Simultaneously considering multiple objectives in machine learning has been a popular approach for several decades, with various benefits for multi-task learning, the consideration of secondary goals such as sparsity, or multicriteria hyperparameter tuning. However - as multi-objective optimization is significantly more costly than single-objective optimization - the recent focus on deep learning architectures poses considerable additional challenges due to the very large number of parameters, strong nonlinearities and stochasticity. This survey covers recent advancements in the area of multi-objective deep learning. We introduce a taxonomy of existing methods - based on the type of training algorithm as well as the decision maker's needs - before listing recent advancements, and also successful applications. All three main learning paradigms supervised learning, unsupervised learning and reinforcement learning are covered, and we also address the recently very popular area of generative modeling.","ArXiv","2","1.6","10.48550/arXiv.2412.01566","https://doi.org/10.48550/arXiv.2412.01566","","true","{'url': 'https://arxiv.org/pdf/2412.01566.pdf', 'status': 'GOLD'}","799f6aa3f3cb677bf618c0815aa3149c341495b8","- Surveys multi-objective deep learning algorithms across core paradigms.
- Organizes methods taxonomically by algorithm and application, covering supervised, unsupervised, and reinforcement learning in deep learning.
- Does not cover evolutionary or imitation learning, multi-agent frameworks, or provide a unified cross-paradigm agent-training taxonomy."
"4","18.9","Algorithms in Multi-Agent Systems: A Holistic Perspective from Reinforcement Learning and Game Theory","2020","2020-01-17","Yunlong Lu, Kai Yan","Deep reinforcement learning (RL) has achieved outstanding results in recent years, which has led a dramatic increase in the number of methods and applications. Recent works are exploring learning beyond single-agent scenarios and considering multi-agent scenarios. However, they are faced with lots of challenges and are seeking for help from traditional game-theoretic algorithms, which, in turn, show bright application promise combined with modern algorithms and boosting computing power. In this survey, we first introduce basic concepts and algorithms in single agent RL and multi-agent systems; then, we summarize the related algorithms from three aspects. Solution concepts from game theory give inspiration to algorithms which try to evaluate the agents or find better solutions in multi-agent systems. Fictitious self-play becomes popular and has a great impact on the algorithm of multi-agent reinforcement learning. Counterfactual regret minimization is an important tool to solve games with incomplete information, and has shown great strength when combined with deep learning.","ArXiv","13","2.1","","https://arxiv.org/abs/2001.06487","","true","{'url': 'https://arxiv.org/pdf/2001.06487.pdf', 'status': 'GOLD'}","e2ff3f88748841eae3aadddefa05c939649c74a0","- Surveys algorithms in multi-agent reinforcement learning and connections to game theory.  
- Reviews single- and multi-agent RL, then discusses game-theoretic solution concepts and algorithmic inspirations (fictitious play, counterfactual regret).  
- Does **not** cover supervised, unsupervised, imitation, or evolutionary frameworks; focus is on RL and game-theory in multi-agent settings only."
"5","16.5","A Survey of Learning in Multiagent Environments: Dealing with Non-Stationarity","2017","2017-07-28","Pablo Hernandez-Leal, M. Kaisers, T. Baarslag, E. M. D. Cote","The key challenge in multiagent learning is learning a best response to the behaviour of other agents, which may be non-stationary: if the other agents adapt their strategy as well, the learning target moves. Disparate streams of research have approached non-stationarity from several angles, which make a variety of implicit assumptions that make it hard to keep an overview of the state of the art and to validate the innovation and significance of new works. This survey presents a coherent overview of work that addresses opponent-induced non-stationarity with tools from game theory, reinforcement learning and multi-armed bandits. Further, we reflect on the principle approaches how algorithms model and cope with this non-stationarity, arriving at a new framework and five categories (in increasing order of sophistication): ignore, forget, respond to target models, learn models, and theory of mind. A wide range of state-of-the-art algorithms is classified into a taxonomy, using these categories and key characteristics of the environment (e.g., observability) and adaptation behaviour of the opponents (e.g., smooth, abrupt). To clarify even further we present illustrative variations of one domain, contrasting the strengths and limitations of each category. Finally, we discuss in which environments the different approaches yield most merit, and point to promising avenues of future research.","ArXiv","274","31.9","","https://arxiv.org/abs/1707.09183","","true","{'url': 'https://arxiv.org/pdf/1707.09183.pdf', 'status': 'GOLD'}","0717e64a010a8cc45da64127b5bce10afc9d6d01","- Surveys multi-agent learning approaches to non-stationarity.
- Reviews and categorizes algorithms using game theory, RL, and bandit frameworks; introduces taxonomy for coping with opponent adaptation.
- Focuses exclusively on multi-agent RL and adaptation, omitting supervised, unsupervised, imitation, and evolutionary learning—does not provide a cross-paradigm agent-training survey."
"6","14.3","Evolutionary Reinforcement Learning: A Survey","2023","2023-03-07","Hui Bai, Ran Cheng, Yaochu Jin","Reinforcement learning (RL) is a machine learning approach that trains agents to maximize cumulative rewards through interactions with environments. The integration of RL with deep learning has recently resulted in impressive achievements in a wide range of challenging tasks, including board games, arcade games, and robot control. Despite these successes, there remain several crucial challenges, including brittle convergence properties caused by sensitive hyperparameters, difficulties in temporal credit assignment with long time horizons and sparse rewards, a lack of diverse exploration, especially in continuous search space scenarios, difficulties in credit assignment in multi-agent reinforcement learning, and conflicting objectives for rewards. Evolutionary computation (EC), which maintains a population of learning agents, has demonstrated promising performance in addressing these limitations. This article presents a comprehensive survey of state-of-the-art methods for integrating EC into RL, referred to as evolutionary reinforcement learning (EvoRL). We categorize EvoRL methods according to key research fields in RL, including hyperparameter optimization, policy search, exploration, reward shaping, meta-RL, and multi-objective RL. We then discuss future research directions in terms of efficient methods, benchmarks, and scalable platforms. This survey serves as a resource for researchers and practitioners interested in the field of EvoRL, highlighting the important challenges and opportunities for future research. With the help of this survey, researchers and practitioners can develop more efficient methods and tailored benchmarks for EvoRL, further advancing this promising cross-disciplinary research field.","ArXiv","52","17.4","10.34133/icomputing.0025","https://doi.org/10.34133/icomputing.0025","","true","{'url': 'https://doi.org/10.34133/icomputing.0025', 'status': 'GOLD'}","4bb9f478cb464049100abafc77b6491b6e5b731a","- Surveys the integration of evolutionary computation with reinforcement learning.
- Categorizes and reviews methods combining EC and RL, including applications in multi-agent and meta-learning contexts.
- Does not cover other major paradigms (supervised, unsupervised, imitation); focus is limited to evolutionary and RL frameworks only."
"7","11.8","Evolutionary Dynamics of Multi-Agent Learning: A Survey","2015","","D. Bloembergen, K. Tuyls, Daniel Hennes, M. Kaisers","The interaction of multiple autonomous agents gives rise to highly dynamic and nondeterministic environments, contributing to the complexity in applications such as automated financial markets, smart grids, or robotics. Due to the sheer number of situations that may arise, it is not possible to foresee and program the optimal behaviour for all agents beforehand. Consequently, it becomes essential for the success of the system that the agents can learn their optimal behaviour and adapt to new situations or circumstances. The past two decades have seen the emergence of reinforcement learning, both in single and multi-agent settings, as a strong, robust and adaptive learning paradigm. Progress has been substantial, and a wide range of algorithms are now available. An important challenge in the domain of multi-agent learning is to gain qualitative insights into the resulting system dynamics. In the past decade, tools and methods from evolutionary game theory have been successfully employed to study multi-agent learning dynamics formally in strategic interactions. This article surveys the dynamical models that have been derived for various multi-agent reinforcement learning algorithms, making it possible to study and compare them qualitatively. Furthermore, new learning algorithms that have been introduced using these evolutionary game theoretic tools are reviewed. The evolutionary models can be used to study complex strategic interactions. Examples of such analysis are given for the domains of automated trading in stock markets and collision avoidance in multi-robot systems. The paper provides a roadmap on the progress that has been achieved in analysing the evolutionary dynamics of multi-agent learning by highlighting the main results and accomplishments.","J. Artif. Intell. Res.","301","27","10.1613/jair.4818","https://doi.org/10.1613/jair.4818","","true","{'url': 'https://jair.org/index.php/jair/article/download/10952/26090', 'status': 'GOLD'}","e46c3bc2670ad1c3192e5f174271ff3f760efd70","- Surveys the use of evolutionary game theory for analyzing multi-agent reinforcement learning dynamics.
- Reviews how evolutionary models describe and compare multi-agent RL algorithms and introduce new learning methods.
- Focuses narrowly on multi-agent reinforcement learning and evolutionary analysis; does not cover supervised, unsupervised, or general single-agent paradigms."
"8","10.6","Combining Evolution and Deep Reinforcement Learning for Policy Search: A Survey","2022","2022-03-26","Olivier Sigaud","Deep neuroevolution and deep Reinforcement Learning have received a lot of attention over the past few years. Some works have compared them, highlighting their pros and cons, but an emerging trend combines them so as to benefit from the best of both worlds. In this article, we provide a survey of this emerging trend by organizing the literature into related groups of works and casting all the existing combinations in each group into a generic framework. We systematically cover all easily available papers irrespective of their publication status, focusing on the combination mechanisms rather than on the experimental results. In total, we cover 45 algorithms more recent than 2017. We hope this effort will favor the growth of the domain by facilitating the understanding of the relationships between the methods, leading to deeper analyses, outlining missing useful comparisons and suggesting new combinations of mechanisms.","ACM Transactions on Evolutionary Learning","42","10.7","10.1145/3569096","https://doi.org/10.1145/3569096","","true","{'url': 'https://arxiv.org/pdf/2203.14009', 'status': 'GOLD'}","d0e783eeb54893c7a283ccbd044647f8f390b16e","- Surveys combinations of evolutionary algorithms and deep reinforcement learning for policy search.
- Organizes and categorizes 45 algorithms from recent literature, highlighting combination mechanisms and comparing approaches within this scope.
- Does not cover supervised, unsupervised, or imitation learning, nor offer a unified taxonomy across all agent-training paradigms; relevance is limited to RL and evolutionary methods only."
"9","8.7","Evolutionary Reinforcement Learning: A Systematic Review and Future Directions","2024","2024-02-20","Y. Lin, Fan Lin, Guorong Cai, Hong Chen, Lixin Zou, Pengcheng Wu","In response to the limitations of reinforcement learning and evolutionary algorithms (EAs) in complex problem-solving, Evolutionary Reinforcement Learning (EvoRL) has emerged as a synergistic solution. EvoRL integrates EAs and reinforcement learning, presenting a promising avenue for training intelligent agents. This systematic review firstly navigates through the technological background of EvoRL, examining the symbiotic relationship between EAs and reinforcement learning algorithms. We then delve into the challenges faced by both EAs and reinforcement learning, exploring their interplay and impact on the efficacy of EvoRL. Furthermore, the review underscores the need for addressing open issues related to scalability, adaptability, sample efficiency, adversarial robustness, ethic and fairness within the current landscape of EvoRL. Finally, we propose future directions for EvoRL, emphasizing research avenues that strive to enhance self-adaptation and self-improvement, generalization, interpretability, explainability, and so on. Serving as a comprehensive resource for researchers and practitioners, this systematic review provides insights into the current state of EvoRL and offers a guide for advancing its capabilities in the ever-evolving landscape of artificial intelligence.","ArXiv","3","1.5","10.48550/arXiv.2402.13296","https://doi.org/10.48550/arXiv.2402.13296","","true","{'url': 'https://arxiv.org/pdf/2402.13296.pdf', 'status': 'GOLD'}","43d72582f68133ff7316f4fcbd6eeac41845f57a","- Surveys the integration of evolutionary algorithms and reinforcement learning.
- Reviews the background, challenges, and interplay between EAs and RL in EvoRL frameworks.
- Does not cover supervised, unsupervised, imitation learning, or broader agent-training paradigms; focused solely on EvoRL, so only distantly related to the full-topic criteria."
"10","7.7","Bridging Evolutionary Algorithms and Reinforcement Learning: A Comprehensive Survey","2024","2024-01-22","Pengyi Li, Jianye Hao, Hongyao Tang, Xian Fu, Yan Zheng, Ke Tang","Evolutionary Reinforcement Learning (ERL), which integrates Evolutionary Algorithms (EAs) and Reinforcement Learning (RL) for optimization, has demonstrated remarkable performance advancements. By fusing both approaches, ERL has emerged as a promising research direction. This survey offers a comprehensive overview of the diverse research branches in ERL. Specifically, we systematically summarize recent advancements in related algorithms and identify three primary research directions: EA-assisted Optimization of RL, RL-assisted Optimization of EA, and synergistic optimization of EA and RL. Following that, we conduct an in-depth analysis of each research direction, organizing multiple research branches. We elucidate the problems that each branch aims to tackle and how the integration of EAs and RL addresses these challenges. In conclusion, we discuss potential challenges and prospective future research directions across various research directions. To facilitate researchers in delving into ERL, we organize the algorithms and codes involved on https://github.com/yeshenpy/Awesome-Evolutionary-Reinforcement-Learning.","ArXiv","11","5.2","10.48550/arXiv.2401.11963","https://doi.org/10.48550/arXiv.2401.11963","","true","{'url': 'https://arxiv.org/pdf/2401.11963.pdf', 'status': 'GOLD'}","25523c3e70daedcd0f1172844fcbafe30b8933f1","- Analyzes the integration of Evolutionary Algorithms and Reinforcement Learning.
- Systematically categorizes and surveys three primary research branches within Evolutionary Reinforcement Learning (ERL).
- Does not cover supervised, unsupervised, or imitation learning, nor single vs. multi-agent distinctions—focuses only on ERL frameworks."
