"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"36FXD446","preprint","2024","Zou, Wei; Geng, Runpeng; Wang, Binghui; Jia, Jinyuan","PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models","","","","10.48550/arXiv.2402.07867","http://arxiv.org/abs/2402.07867","Large language models (LLMs) have achieved remarkable success due to their exceptional generative capabilities. Despite their success, they also have inherent limitations such as a lack of up-to-date knowledge and hallucination. Retrieval-Augmented Generation (RAG) is a state-of-the-art technique to mitigate these limitations. The key idea of RAG is to ground the answer generation of an LLM on external knowledge retrieved from a knowledge database. Existing studies mainly focus on improving the accuracy or efficiency of RAG, leaving its security largely unexplored. We aim to bridge the gap in this work. We find that the knowledge database in a RAG system introduces a new and practical attack surface. Based on this attack surface, we propose PoisonedRAG, the first knowledge corruption attack to RAG, where an attacker could inject a few malicious texts into the knowledge database of a RAG system to induce an LLM to generate an attacker-chosen target answer for an attacker-chosen target question. We formulate knowledge corruption attacks as an optimization problem, whose solution is a set of malicious texts. Depending on the background knowledge (e.g., black-box and white-box settings) of an attacker on a RAG system, we propose two solutions to solve the optimization problem, respectively. Our results show PoisonedRAG could achieve a 90% attack success rate when injecting five malicious texts for each target question into a knowledge database with millions of texts. We also evaluate several defenses and our results show they are insufficient to defend against PoisonedRAG, highlighting the need for new defenses.","2024-08-13","2025-01-03 07:47:56","2025-01-03 07:47:56","2025-01-03 07:47:56","","","","","","","PoisonedRAG","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2402.07867 [cs]","","","","","Computer Science - Machine Learning; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2402.07867","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8HIAH2I","preprint","2024","Du, Xueying; Zheng, Geng; Wang, Kaixin; Feng, Jiayi; Deng, Wentai; Liu, Mingwei; Chen, Bihuan; Peng, Xin; Ma, Tao; Lou, Yiling","Vul-RAG: Enhancing LLM-based Vulnerability Detection via Knowledge-level RAG","","","","10.48550/arXiv.2406.11147","http://arxiv.org/abs/2406.11147","Vulnerability detection is essential for software quality assurance. In recent years, deep learning models (especially large language models) have shown promise in vulnerability detection. In this work, we propose a novel LLM-based vulnerability detection technique Vul-RAG, which leverages knowledge-level retrieval-augmented generation (RAG) framework to detect vulnerability for the given code in three phases. First, Vul-RAG constructs a vulnerability knowledge base by extracting multi-dimension knowledge via LLMs from existing CVE instances; second, for a given code snippet, Vul-RAG} retrieves the relevant vulnerability knowledge from the constructed knowledge base based on functional semantics; third, Vul-RAG leverages LLMs to check the vulnerability of the given code snippet by reasoning the presence of vulnerability causes and fixing solutions of the retrieved vulnerability knowledge. Our evaluation of Vul-RAG on our constructed benchmark PairVul shows that Vul-RAG substantially outperforms all baselines by 12.96\%/110\% relative improvement in accuracy/pairwise-accuracy. In addition, our user study shows that the vulnerability knowledge generated by Vul-RAG can serve as high-quality explanations which can improve the manual detection accuracy from 0.60 to 0.77.","2024-06-19","2024-12-31 03:33:43","2024-12-31 03:33:43","2024-12-31 03:33:43","","","","","","","Vul-RAG","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2406.11147 [cs]","","D:\Program Files\Zotero\File\storage\VFKPFFKC\Du 等 - 2024 - Vul-RAG Enhancing LLM-based Vulnerability Detection via Knowledge-level RAG.pdf; D:\Program Files\Zotero\File\storage\98UKIY4Z\2406.html","","","Computer Science - Artificial Intelligence; Computer Science - Software Engineering","","","","","","","","","","","","","","","","","","","arXiv:2406.11147","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6W7PU47J","preprint","2024","Su, Jinyan; Zhou, Jin Peng; Zhang, Zhengxin; Nakov, Preslav; Cardie, Claire","Towards More Robust Retrieval-Augmented Generation: Evaluating RAG Under Adversarial Poisoning Attacks","","","","10.48550/arXiv.2412.16708","http://arxiv.org/abs/2412.16708","Retrieval-Augmented Generation (RAG) systems have emerged as a promising solution to mitigate LLM hallucinations and enhance their performance in knowledge-intensive domains. However, these systems are vulnerable to adversarial poisoning attacks, where malicious passages injected into retrieval databases can mislead the model into generating factually incorrect outputs. In this paper, we investigate both the retrieval and the generation components of RAG systems to understand how to enhance their robustness against such attacks. From the retrieval perspective, we analyze why and how the adversarial contexts are retrieved and assess how the quality of the retrieved passages impacts downstream generation. From a generation perspective, we evaluate whether LLMs' advanced critical thinking and internal knowledge capabilities can be leveraged to mitigate the impact of adversarial contexts, i.e., using skeptical prompting as a self-defense mechanism. Our experiments and findings provide actionable insights into designing safer and more resilient retrieval-augmented frameworks, paving the way for their reliable deployment in real-world applications.","2024-12-21","2024-12-31 03:33:33","2024-12-31 03:33:33","2024-12-31 03:33:33","","","","","","","Towards More Robust Retrieval-Augmented Generation","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2412.16708 [cs]","","D:\Program Files\Zotero\File\storage\WIHY6GEH\2412.html; D:\Program Files\Zotero\File\storage\KWBYI33R\Su 等 - 2024 - Towards More Robust Retrieval-Augmented Generation Evaluating RAG Under Adversarial Poisoning Attac.pdf","","","Computer Science - Information Retrieval","","","","","","","","","","","","","","","","","","","arXiv:2412.16708","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V9CG7ZIC","preprint","2024","Li, Xuying; Li, Zhuo; Kosuga, Yuji; Yoshida, Yasuhiro; Bian, Victor","Targeting the Core: A Simple and Effective Method to Attack RAG-based Agents via Direct LLM Manipulation","","","","10.48550/arXiv.2412.04415","http://arxiv.org/abs/2412.04415","AI agents, powered by large language models (LLMs), have transformed human-computer interactions by enabling seamless, natural, and context-aware communication. While these advancements offer immense utility, they also inherit and amplify inherent safety risks such as bias, fairness, hallucinations, privacy breaches, and a lack of transparency. This paper investigates a critical vulnerability: adversarial attacks targeting the LLM core within AI agents. Specifically, we test the hypothesis that a deceptively simple adversarial prefix, such as \textit{Ignore the document}, can compel LLMs to produce dangerous or unintended outputs by bypassing their contextual safeguards. Through experimentation, we demonstrate a high attack success rate (ASR), revealing the fragility of existing LLM defenses. These findings emphasize the urgent need for robust, multi-layered security measures tailored to mitigate vulnerabilities at the LLM level and within broader agent-based architectures.","2024-12-05","2024-12-31 03:33:18","2024-12-31 03:33:18","2024-12-31 03:33:18","","","","","","","Targeting the Core","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2412.04415 [cs]","","D:\Program Files\Zotero\File\storage\KKB87MYL\Li 等 - 2024 - Targeting the Core A Simple and Effective Method to Attack RAG-based Agents via Direct LLM Manipula.pdf; D:\Program Files\Zotero\File\storage\24NGSD3S\2412.html","","","Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","arXiv:2412.04415","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CALLUSLK","preprint","2024","Jiang, Changyue; Pan, Xudong; Hong, Geng; Bao, Chenfu; Yang, Min","RAG-Thief: Scalable Extraction of Private Data from Retrieval-Augmented Generation Applications with Agent-based Attacks","","","","10.48550/arXiv.2411.14110","http://arxiv.org/abs/2411.14110","While large language models (LLMs) have achieved notable success in generative tasks, they still face limitations, such as lacking up-to-date knowledge and producing hallucinations. Retrieval-Augmented Generation (RAG) enhances LLM performance by integrating external knowledge bases, providing additional context which significantly improves accuracy and knowledge coverage. However, building these external knowledge bases often requires substantial resources and may involve sensitive information. In this paper, we propose an agent-based automated privacy attack called RAG-Thief, which can extract a scalable amount of private data from the private database used in RAG applications. We conduct a systematic study on the privacy risks associated with RAG applications, revealing that the vulnerability of LLMs makes the private knowledge bases suffer significant privacy risks. Unlike previous manual attacks which rely on traditional prompt injection techniques, RAG-Thief starts with an initial adversarial query and learns from model responses, progressively generating new queries to extract as many chunks from the knowledge base as possible. Experimental results show that our RAG-Thief can extract over 70% information from the private knowledge bases within customized RAG applications deployed on local machines and real-world platforms, including OpenAI's GPTs and ByteDance's Coze. Our findings highlight the privacy vulnerabilities in current RAG applications and underscore the pressing need for stronger safeguards.","2024-11-21","2024-12-31 03:32:57","2024-12-31 03:32:57","2024-12-31 03:32:57","","","","","","","RAG-Thief","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2411.14110 [cs]","","D:\Program Files\Zotero\File\storage\VTHUI6AK\Jiang 等 - 2024 - RAG-Thief Scalable Extraction of Private Data from Retrieval-Augmented Generation Applications with.pdf; D:\Program Files\Zotero\File\storage\W72IAA5E\2411.html","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2411.14110","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9NDIKCH","preprint","2024","Rajapaksha, Sampath; Rani, Ruby; Karafili, Erisa","A RAG-Based Question-Answering Solution for Cyber-Attack Investigation and Attribution","","","","10.48550/arXiv.2408.06272","http://arxiv.org/abs/2408.06272","In the constantly evolving field of cybersecurity, it is imperative for analysts to stay abreast of the latest attack trends and pertinent information that aids in the investigation and attribution of cyber-attacks. In this work, we introduce the first question-answering (QA) model and its application that provides information to the cybersecurity experts about cyber-attacks investigations and attribution. Our QA model is based on Retrieval Augmented Generation (RAG) techniques together with a Large Language Model (LLM) and provides answers to the users' queries based on either our knowledge base (KB) that contains curated information about cyber-attacks investigations and attribution or on outside resources provided by the users. We have tested and evaluated our QA model with various types of questions, including KB-based, metadata-based, specific documents from the KB, and external sources-based questions. We compared the answers for KB-based questions with those from OpenAI's GPT-3.5 and the latest GPT-4o LLMs. Our proposed QA model outperforms OpenAI's GPT models by providing the source of the answers and overcoming the hallucination limitations of the GPT models, which is critical for cyber-attack investigation and attribution. Additionally, our analysis showed that when the RAG QA model is given few-shot examples rather than zero-shot instructions, it generates better answers compared to cases where no examples are supplied in addition to the query.","2024-08-12","2024-12-31 03:32:49","2024-12-31 03:32:49","2024-12-31 03:32:49","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2408.06272 [cs]","","D:\Program Files\Zotero\File\storage\GTAA52AZ\Rajapaksha 等 - 2024 - A RAG-Based Question-Answering Solution for Cyber-Attack Investigation and Attribution.pdf; D:\Program Files\Zotero\File\storage\U8PTAUPE\2408.html","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2408.06272","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGQUJAIX","preprint","2024","Tan, Xue; Luan, Hao; Luo, Mingyu; Sun, Xiaoyan; Chen, Ping; Dai, Jun","Knowledge Database or Poison Base? Detecting RAG Poisoning Attack through LLM Activations","","","","10.48550/arXiv.2411.18948","http://arxiv.org/abs/2411.18948","As Large Language Models (LLMs) are progressively deployed across diverse fields and real-world applications, ensuring the security and robustness of LLMs has become ever more critical. Retrieval-Augmented Generation (RAG) is a cutting-edge approach designed to address the limitations of large language models (LLMs). By retrieving information from the relevant knowledge database, RAG enriches the input to LLMs, enabling them to produce responses that are more accurate and contextually appropriate. It is worth noting that the knowledge database, being sourced from publicly available channels such as Wikipedia, inevitably introduces a new attack surface. RAG poisoning involves injecting malicious texts into the knowledge database, ultimately leading to the generation of the attacker's target response (also called poisoned response). However, there are currently limited methods available for detecting such poisoning attacks. We aim to bridge the gap in this work. Particularly, we introduce RevPRAG, a flexible and automated detection pipeline that leverages the activations of LLMs for poisoned response detection. Our investigation uncovers distinct patterns in LLMs' activations when generating correct responses versus poisoned responses. Our results on multiple benchmark datasets and RAG architectures show our approach could achieve 98% true positive rate, while maintaining false positive rates close to 1%. We also evaluate recent backdoor detection methods specifically designed for LLMs and applicable for identifying poisoned responses in RAG. The results demonstrate that our approach significantly surpasses them.","2024-11-28","2024-12-31 03:32:39","2024-12-31 03:32:39","2024-12-31 03:32:39","","","","","","","Knowledge Database or Poison Base?","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2411.18948 [cs]","","D:\Program Files\Zotero\File\storage\AMGT2B8P\2411.html; D:\Program Files\Zotero\File\storage\EJNXE3IB\Tan 等 - 2024 - Knowledge Database or Poison Base Detecting RAG Poisoning Attack through LLM Activations.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2411.18948","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDAT8NL3","preprint","2024","Zeng, Shenglai; Zhang, Jiankun; He, Pengfei; Xing, Yue; Liu, Yiding; Xu, Han; Ren, Jie; Wang, Shuaiqiang; Yin, Dawei; Chang, Yi; Tang, Jiliang","The Good and The Bad: Exploring Privacy Issues in Retrieval-Augmented Generation (RAG)","","","","10.48550/arXiv.2402.16893","http://arxiv.org/abs/2402.16893","Retrieval-augmented generation (RAG) is a powerful technique to facilitate language model with proprietary and private data, where data privacy is a pivotal concern. Whereas extensive research has demonstrated the privacy risks of large language models (LLMs), the RAG technique could potentially reshape the inherent behaviors of LLM generation, posing new privacy issues that are currently under-explored. In this work, we conduct extensive empirical studies with novel attack methods, which demonstrate the vulnerability of RAG systems on leaking the private retrieval database. Despite the new risk brought by RAG on the retrieval data, we further reveal that RAG can mitigate the leakage of the LLMs' training data. Overall, we provide new insights in this paper for privacy protection of retrieval-augmented LLMs, which benefit both LLMs and RAG systems builders. Our code is available at https://github.com/phycholosogy/RAG-privacy.","2024-02-23","2024-12-31 03:32:01","2024-12-31 03:32:01","2024-12-31 03:32:01","","","","","","","The Good and The Bad","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2402.16893 [cs]","","D:\Program Files\Zotero\File\storage\5CJIY474\2402.html; D:\Program Files\Zotero\File\storage\JRIUPY2S\Zeng 等 - 2024 - The Good and The Bad Exploring Privacy Issues in Retrieval-Augmented Generation (RAG).pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2402.16893","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TUH5UYD","preprint","2024","Shafran, Avital; Schuster, Roei; Shmatikov, Vitaly","Machine Against the RAG: Jamming Retrieval-Augmented Generation with Blocker Documents","","","","10.48550/arXiv.2406.05870","http://arxiv.org/abs/2406.05870","Retrieval-augmented generation (RAG) systems respond to queries by retrieving relevant documents from a knowledge database, then generating an answer by applying an LLM to the retrieved documents. We demonstrate that RAG systems that operate on databases with untrusted content are vulnerable to a new class of denial-of-service attacks we call jamming. An adversary can add a single ``blocker'' document to the database that will be retrieved in response to a specific query and result in the RAG system not answering this query - ostensibly because it lacks the information or because the answer is unsafe. We describe and measure the efficacy of several methods for generating blocker documents, including a new method based on black-box optimization. This method (1) does not rely on instruction injection, (2) does not require the adversary to know the embedding or LLM used by the target RAG system, and (3) does not use an auxiliary LLM to generate blocker documents. We evaluate jamming attacks on several LLMs and embeddings and demonstrate that the existing safety metrics for LLMs do not capture their vulnerability to jamming. We then discuss defenses against blocker documents.","2024-09-16","2024-12-31 03:31:38","2024-12-31 03:31:38","2024-12-31 03:31:38","","","","","","","Machine Against the RAG","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2406.05870 [cs]","","D:\Program Files\Zotero\File\storage\YAQBC7UY\Shafran 等 - 2024 - Machine Against the RAG Jamming Retrieval-Augmented Generation with Blocker Documents.pdf; D:\Program Files\Zotero\File\storage\JL8TK5Q4\2406.html","","","Computer Science - Computation and Language; Computer Science - Machine Learning; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2406.05870","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3AJCZPUI","preprint","2024","Wang, Ziqiu; Liu, Jun; Zhang, Shengkai; Yang, Yang","Poisoned LangChain: Jailbreak LLMs by LangChain","","","","10.48550/arXiv.2406.18122","http://arxiv.org/abs/2406.18122","With the development of natural language processing (NLP), large language models (LLMs) are becoming increasingly popular. LLMs are integrating more into everyday life, raising public concerns about their security vulnerabilities. Consequently, the security of large language models is becoming critically important. Currently, the techniques for attacking and defending against LLMs are continuously evolving. One significant method type of attack is the jailbreak attack, which designed to evade model safety mechanisms and induce the generation of inappropriate content. Existing jailbreak attacks primarily rely on crafting inducement prompts for direct jailbreaks, which are less effective against large models with robust filtering and high comprehension abilities. Given the increasing demand for real-time capabilities in large language models, real-time updates and iterations of new knowledge have become essential. Retrieval-Augmented Generation (RAG), an advanced technique to compensate for the model's lack of new knowledge, is gradually becoming mainstream. As RAG enables the model to utilize external knowledge bases, it provides a new avenue for jailbreak attacks. In this paper, we conduct the first work to propose the concept of indirect jailbreak and achieve Retrieval-Augmented Generation via LangChain. Building on this, we further design a novel method of indirect jailbreak attack, termed Poisoned-LangChain (PLC), which leverages a poisoned external knowledge base to interact with large language models, thereby causing the large models to generate malicious non-compliant dialogues.We tested this method on six different large language models across three major categories of jailbreak issues. The experiments demonstrate that PLC successfully implemented indirect jailbreak attacks under three different scenarios, achieving success rates of 88.56%, 79.04%, and 82.69% respectively.","2024-06-26","2024-12-31 01:55:36","2024-12-31 01:55:36","2024-12-31 01:55:36","","","","","","","Poisoned LangChain","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2406.18122 [cs]","","D:\Program Files\Zotero\File\storage\NRIWL9MW\2406.html; D:\Program Files\Zotero\File\storage\6LIIWH8B\Wang 等 - 2024 - Poisoned LangChain Jailbreak LLMs by LangChain.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2406.18122","","","","","","","","","","","","","","","","","","","","","","","","","","",""
